iter	Passed	Remaining
480	6476	6987
481	6492	6977
482	6509	6967
483	6520	6952
484	6542	6946
485	6561	6939
486	6577	6928
487	6592	6916
488	6606	6903
489	6617	6887
490	6626	6869
491	6640	6856
492	6653	6842
493	6662	6824
494	6670	6805
495	6683	6791
496	6697	6778
497	6707	6760
498	6716	6743
499	6730	6730
500	6737	6710
501	6744	6690
502	6759	6678
503	6772	6665
504	6784	6650
505	6799	6637
506	6814	6626
507	6821	6606
508	6834	6592
509	6845	6576
510	6856	6561
511	6874	6551
512	6887	6538
513	6900	6524
514	6909	6507
515	6921	6492
516	6928	6472
517	6943	6461
518	6958	6449
519	6969	6433
520	6979	6417
521	6995	6405
522	7006	6390
523	7013	6371
524	7026	6357
525	7035	6340
526	7052	6329
527	7065	6316
528	7080	6303
529	7090	6287
530	7101	6272
531	7119	6263
532	7129	6247
533	7139	6230
534	7152	6216
535	7162	6200
536	7173	6185
537	7184	6169
538	7192	6151
539	7205	6137
540	7214	6121
541	7225	6105
542	7235	6089
543	7248	6076
544	7264	6064
545	7273	6047
546	7291	6038
547	7301	6022
548	7314	6008
549	7324	5992
550	7338	5980
551	7348	5963
552	7359	5949
553	7372	5934
554	7386	5922
555	7397	5907
556	7418	5899
557	7430	5885
558	7443	5871
559	7451	5854
560	7467	5843
561	7479	5829
562	7490	5813
563	7499	5797
564	7510	5782
565	7519	5765
566	7531	5751
567	7549	5741
568	7555	5723
569	7564	5706
570	7578	5693
571	7587	5677
572	7601	5664
573	7615	5651
574	7637	5644
575	7653	5634
576	7664	5618
577	7677	5605
578	7691	5592
579	7709	5582
580	7725	5571
581	7736	5556
582	7751	5544
583	7762	5529
584	7776	5516
585	7796	5507
586	7805	5491
587	7818	5478
588	7834	5466
589	7851	5456
590	7860	5440
591	7872	5425
592	7886	5412
593	7899	5399
594	7912	5385
595	7928	5374
596	7944	5362
597	7959	5350
598	7974	5338
599	7989	5326
600	8002	5312
601	8014	5298
602	8023	5282
603	8041	5272
604	8052	5257
605	8071	5247
606	8084	5234
607	8099	5222
608	8114	52611609	8122	51612610	8137	51613611	8155	51614612	8169	51615613	8185	51616614	8203	5135
615	8222	5125
616	8237	5113
617	8255	5103
618	8270	5090
619	8286	5078
620	8301	5066
621	8316	5054
622	8328	5039
623	8345	5028
624	8358	5015
625	8375	5003
626	8399	4997
627	8413	4983
628	8419	4966
629	8439	4956
630	8459	4946
631	8475	4935
632	8494	4924
633	8503	4909
634	8519	4897
635	8532	4883
636	8549	4871
637	8560	4857
638	8572	4842
639	8588	4830
640	8604	4818
641	8618	4805
642	8627	4790
643	8643	4778
644	8655	4763
645	8669	4750
646	8685	4738
647	8693	4722
648	8705	4708
649	8715	4693
650	8734	4682
651	8744	4667
652	8764	4657
653	8773	4641
654	8789	4629
655	8798	4614
656	8812	4600
657	8827	4588
658	8842	4575
659	8853	4560
660	8868	4548
661	8881	4534
662	8889	4518
663	8897	4502
664	8906	4486
665	8914	4470
666	8927	4457
667	8939	4443
668	8945	4426
669	8960	4413
670	8969	4397
671	8983	4384
672	8998	4372
673	9010	4358
674	9022	4344
675	9032	4329
676	9052	4318
677	9066	4305
678	9079	4292
679	9094	4279
680	9106	4265
681	9113	4249
682	9125	4235
683	9137	4221
684	9145	4205
685	9156	4191
686	9167	4176
687	9179	4162
688	9194	4150
689	9208	4137
690	9221	4123
691	9239	4112
692	9254	4099
693	9262	4084
694	9273	4069
695	9284	4055
696	9301	4043
697	9315	4030
698	9328	4017
699	9341	4003
700	9355	3990
701	9367	3976
702	9377	3961
703	9394	3949
704	9407	3936
705	9421	3923
706	9436	3910
707	9446	3895
708	9458	3882
709	9471	3868
710	9479	3853
711	9497	3841
712	9503	3825
713	9513	3810
714	9524	3796
715	9538	3783
716	9550	3769
717	9561	3755
718	9572	3741
719	9587	3728
720	9599	3714
721	9609	3699
722	9622	3686
723	9634	3672
724	9644	3658
725	9660	3645
726	9674	3632
727	9685	3618
728	9699	3605
729	9711	3591
730	9720	3577
731	9735	3564
732	9743	3548
733	9756	3535
734	9767	3521
735	9781	3508
736	9791	3494
737	9808	3482
738	9818	3467
739	9826	3452
740	9837	3438
741	9849	3424
742	9857	3409
743	9869	3396
744	9883	3383
745	9898	3370
746	9910	3356
747	9921	3342
748	9937	3330
749	9951	3317
750	9960	3302
751	9973	3289
752	9983	3274
753	9995	3261
754	10010	3248
755	10022	3234
756	10030	3219
757	10046	3207
758	10066	3196
759	10080	3183
760	10090	3168
761	10102	3155
762	10109	3140
763	10121	3126
764	10133	3112
765	10146	3099
766	10159	3086
767	10169	3072
768	10186	3059
769	10198	3046
770	10211	3033
771	10222	3019
772	10231	3004
773	10245	2991
774	10253	2976
775	10263	2962
776	10275	2949
777	10294	2937
778	10307	2924
779	10315	2909
780	10327	2895
781	10336	2881
782	10344	2866
783	10361	2854
784	10369	2840
785	10385	2827
786	10397	2814
787	10412	2801
788	10426	2788
789	10433	2773
790	10443	2759
791	10450	2744
792	10467	2732
793	10476	2718
794	10485	2703
795	10493	2689
796	10507	2676
797	10518	2662
798	10531	2649
799	10546	2636
800	10553	2621
801	10567	2608
802	10575	2594
803	10590	2581
804	10600	2567
805	10609	2553
806	10618	2539
807	10629	2525
808	10641	2512
809	10657	2499
810	10671	2486
811	10678	2472
812	10691	2459
813	10706	2446
814	10717	2432
815	10730	2419
816	10737	2405
817	10751	2392
818	10763	2378
819	10778	2366
820	10792	2353
821	10806	2340
822	10822	2327
823	10836	2314
824	10844	2300
825	10855	2286
826	10869	2273
827	10881	2260
828	10894	2247
829	10907	2234
830	10916	2220
831	10927	2206
832	10940	2193
833	10952	2179
834	10964	2166
835	10974	2152
836	10982	2138
837	10996	2125
838	11009	2112
839	11021	2099
840	11035	2086
841	11044	2072
842	11053	2058
843	11062	2044
844	11075	2031
845	11091	2019
846	11103	2005
847	11116	1992
848	11125	1978
849	11139	1965
850	11150	1952
851	11160	1938
852	11175	1925
853	11193	1913
854	11202	1899
855	11220	1887
856	11229	1873
857	11239	1860
858	11252	1846
859	11260	1833
860	11274	1820
861	11286	1806
862	11296	1793
863	11307	1779
864	11326	1767
865	11334	1753
866	11349	1741
867	11364	1728
868	11372	1714
869	11388	1701
870	11399	1688
871	11411	1675
872	11425	1662
873	11433	1648
874	11443	1634
875	11452	1621
876	11462	1607
877	11474	1594
878	11485	1581
879	11503	1568
880	11512	1555
881	11527	1542
882	11538	1528
883	11545	1515
884	11561	1502
885	11571	1488
886	11585	1475
887	11597	1462
888	11606	1449
889	11618	1435
890	11626	1422
891	11643	1409
892	11652	1396
893	11666	1383
894	11680	1370
895	11687	1356
896	11698	1343
897	11707	1329
898	11720	1316
899	11733	1303
900	11746	1290
901	11756	1277
902	11766	1263
903	11779	1250
904	11794	1238
905	11805	1224
906	11818	1211
907	11827	1198
908	11837	1185
909	11853	1172
910	11866	1159
911	11880	1146
912	11888	1132
913	11901	1119
914	11912	1106
915	11921	1093
916	11935	1080
917	11953	1067
918	11960	1054
919	11969	1040
920	11983	1027
921	11994	1014
922	12002	1001
923	12012	988
924	12021	974
925	12031	961
926	12044	948
927	12059	935
928	12070	922
929	12086	909
930	12101	896
931	12112	883
932	12125	870
933	12135	857
934	12153	844
935	12162	831
936	12174	818
937	12185	805
938	12201	792
939	12213	779
940	12223	766
941	12237	753
942	12249	740
943	12261	727
944	12271	714
945	12282	701
946	12298	688
947	12313	675
948	12322	662
949	12335	649
950	12343	636
951	12354	622
952	12367	609
953	12383	597
954	12394	584
955	12404	570
956	12414	557
957	12423	544
958	12433	531
959	12445	518
960	12459	505
961	12468	492
962	12476	479
963	12491	466
964	12501	453
965	12509	440
966	12519	427
967	12527	414
968	12536	401
969	12553	388
970	12569	375
971	12579	362
972	12591	349
973	12603	336
974	12612	323
975	12622	310
976	12632	297
977	12640	284
978	12657	271
979	12673	258
980	12689	245
981	12698	232
982	12713	219
983	12724	206
984	12732	193
985	12745	180
986	12755	168
987	12768	155
988	12775	142
989	12785	129
990	12800	116
991	12807	103
992	12815	90
993	12824	77
994	12830	64
995	12833	51
996	12838	38
997	12842	25
998	12846	12
999	12851	0
