iter	RMSE
141	1097664.076
142	1096317.077
143	1092118.817
144	1090703.764
145	1087472.34
146	1084142.114
147	1081103.926
148	1078989.689
149	1076939.541
150	1075278.051
151	1072313.309
152	1069602.775
153	1066381.499
154	1063139.094
155	1058886.919
156	1055895.667
157	1052949.81
158	1048753.189
159	1046717.931
160	1042877.217
161	1039886.215
162	1037060.797
163	1035208.363
164	1032976.823
165	1029988.068
166	1027789.617
167	1025057.356
168	1020872.953
169	1019443.666
170	1015880.302
171	1013006.167
172	1009105.119
173	1007320.666
174	1004251.716
175	1000763.668
176	999260.7142
177	997323.164
178	993770.737
179	989118.608
180	986449.4427
181	984837.587
182	982874.2715
183	979345.5516
184	976967.4177
185	975515.8807
186	970587.9493
187	968579.0574
188	965198.6205
189	962836.3918
190	960885.9255
191	959267.8743
192	955333.3952
193	952055.7438
194	945722.1893
195	942528.192
196	940026.4139
197	937450.1998
198	934385.5384
199	930752.6032
200	927966.0087
201	927235.1318
202	925661.1273
203	921359.9779
204	919286.7604
205	917340.8754
206	916327.6906
207	913987.0967
208	912329.2632
209	909349.5759
210	907512.9777
211	902931.8754
212	900740.1521
213	898719.9965
214	896438.7162
215	895167.5318
216	893206.9273
217	891741.0934
218	890008.7437
219	889053.3455
220	886705.2233
221	884857.8603
222	881177.354
223	877591.0137
224	875965.466
225	874145.6711
226	872571.7348
227	870573.4012
228	867851.4767
229	865642.0575
230	862211.4837
231	860841.0415
232	858978.1331
233	857371.889
234	854582.6141
235	851088.9847
236	849007.364
237	846351.5843
238	843489.1338
239	842154.3838
240	841229.3427
241	839291.2303
242	838608.6969
243	836741.0134
244	835175.3197
245	832472.217
246	831107.9889
247	829535.6916
248	826706.8223
249	825897.3585
250	822339.0083
251	820551.4187
252	817609.7211
253	815809.3949
254	812487.8206
255	809797.2836
256	809271.1013
257	806762.3086
258	805851.6808
259	804262.818
260	803387.3297
261	800733.9603
262	797073.451
263	796666.6511
264	795383.5417
265	792616.8246
266	791365.157
267	790153.4308
268	788943.0185
269	786473.8166
270	784251.7695
271	782769.8041
272	781255.7051
273	779895.0645
274	777327.1275
275	775584.5288
276	774969.8749
277	774455.9364
278	773943.992
279	769654.1729
280	768722.5715
281	768229.2447
282	767622.3298
283	765890.8938
284	765090.3961
285	764071.0241
286	761486.1055
287	760340.2735
288	759861.0268
289	755919.0997
290	755389.7026
291	754497.2774
292	751869.812
293	751219.4336
294	750269.5758
295	748936.4709
296	746968.9117
297	744512.2962
298	743998.5158
299	743285.7679
300	739444.5672
301	738034.7655
302	737584.0681
303	735111.9983
304	731314.8945
305	728922.7868
306	727686.3955
307	726343.7661
308	725401.1873
309	725100.2727
310	723112.0206
311	720760.1406
312	718306.7942
313	717519.2832
314	716421.6482
315	715130.6454
316	713595.5156
317	710140.0277
318	709097.8546
319	706907.1174
320	703470.3648
321	703129.5725
322	700457.3855
323	699452.1732
324	697292.9138
325	695389.8533
326	693741.5019
327	690540.0804
328	687719.3796
329	687090.8766
330	686746.9513
331	685859.1757
332	685262.3607
333	684118.6112
334	683281.6475
335	681918.1407
336	681411.6333
337	680621.3722
338	678491.5379
339	675996.3249
340	673229.045
341	671417.9194
342	670857.9119
343	669786.044
344	667483.8146
345	664792.6302
346	664575.5983
347	663909.0845
348	661663.4427
349	661352.9113
350	659081.6872
351	657282.1509
352	655961.9292
353	653710.4909
354	653248.9668
355	652620.2574
356	651988.0399
357	651181.4172
358	648823.4899
359	648213.988
360	647443.3531
361	645667.2434
362	643664.231
363	641213.9503
364	640703.4945
365	638950.9343
366	638624.7814
367	636330.9132
368	634965.3646
369	634495.5428
370	632836.835
371	631391.7771
372	631158.4444
373	630051.723
374	629541.4983
375	628296.6633
376	625549.1185
377	623662.8235
378	623139.5463
379	621964.3856
380	619501.2452
381	618958.5926
382	616656.5166
383	614208.8167
384	613992.7371
385	610398.8282
386	610171.7589
387	608035.3925
388	605855.5778
389	605534.9886
390	605187.909
391	603482.7165
392	601292.7855
393	601020.9127
394	600239.656
395	598630.3161
396	598051.0715
397	596456.2025
398	594826.428
399	594635.0115
400	592797.1322
401	592571.1061
402	591194.6973
403	589972.2292
404	589249.4671
405	588625.0038
406	586656.3187
407	586453.086
408	585307.3157
409	583717.8635
410	581678.0384
411	581409.9096
412	578698.1622
413	576408.3645
414	574108.321
415	571873.7149
416	569988.2842
417	569297.6655
418	568189.1378
419	566219.5232
420	565301.2747
421	564407.7311
422	563716.2623
423	563195.2438
424	561053.6943
425	560387.1253
426	558663.7182
427	557872.9623
428	556578.6415
429	554170.236
430	552971.1895
431	551243.3451
432	549770.5864
433	548829.022
434	548321.9185
435	546159.2181
436	545841.5486
437	543946.3515
438	542541.2126
439	541450.2216
440	541091.5506
441	539292.8441
442	537049.5141
443	535731.775
444	535072.8503
445	533881.7313
446	532871.1951
447	531189.8091
448	530931.4875
449	529236.8166
450	527829.3168
451	526608.0279
452	525195.3714
453	524675.2366
454	523941.5777
455	522222.2433
456	521121.8917
457	520643.0656
458	518396.2832
459	516618.3185
460	514395.7051
461	513120.0313
462	511526.6529
463	510512.1068
464	509026.7801
465	507960.4882
466	506985.8661
467	505411.2615
468	503852.9585
469	502089.6487
470	501182.6783
471	500110.5776
472	498735.3204
473	497129.0336
474	496967.4573
475	495962.1777
476	495066.3667
477	493177.3883
478	492924.3853
479	492565.4843
480	491521.7113
481	490274.2442
482	488792.9276
483	487621.9113
484	486487.7345
485	485731.2424
486	484555.3808
487	482831.2269
488	481548.6672
489	480544.7794
490	479060.8549
491	477473.333
492	476532.976
493	475322.5849
494	473667.5888
495	472463.7473
496	471222.8346
497	469910.0033
498	468880.0498
499	467896.6982
500	466433.2254
501	466080.3416
502	464413.5771
503	463298.3075
504	462028.3318
505	461553.4758
506	460232.3903
507	459323.008
508	457967.7812
509	456945.4867
510	456546.6427
511	455868.9219
512	454142.817
513	453901.2043
514	452932.8665
515	451280.9792
516	449923.493
517	448284.2291
518	447224.4039
519	446142.8876
520	445054.7741
521	443524.0073
522	442398.6954
523	442209.8121
524	440970.5412
525	440232.3369
526	439055.1339
527	437984.0578
528	436769.4565
529	435451.7713
530	434895.9381
531	433662.771
532	433304.1677
533	432037.6528
534	431353.8277
535	430478.3524
536	429204.4537
537	428750.1285
538	428504.5031
539	427432.2564
540	425527.9116
541	423838.6498
542	423010.9863
543	421590.5256
544	420303.4424
545	419059.0975
546	418268.8751
547	417373.5531
548	416829.1329
549	415940.4759
550	415232.3318
551	414131.0893
552	414025.6171
553	412676.3578
554	412550.5474
555	411632.3791
556	410334.6274
557	410198.2192
558	408771.1113
559	407807.1674
560	406637.5153
561	405697.2488
562	405213.9019
563	405103.5473
564	404733.4382
565	403695.6561
566	402510.4985
567	402258.1782
568	400801.844
569	400359.1875
570	399893.7177
571	399432.7988
572	398438.8528
573	397626.2384
574	396861.7315
575	395934.4975
576	394277.0802
577	393975.7505
578	392519.0024
579	392298.6976
580	391295.4444
581	390798.3387
582	390257.3614
583	389495.7186
584	388502.2181
585	387577.1592
586	386626.5465
587	385562.8327
588	384780.4514
589	384159.9917
590	383230.3492
591	382551.646
592	381973.6497
593	381631.7499
594	380287.7789
595	379361.9866
596	379239.115
597	378548.7874
598	377973.7014
599	377568.2614
600	376824.6768
601	375780.699
602	374976.8589
603	374223.8406
604	373441.5746
605	372486.12
606	371375.0521
607	371179.0781
608	370949.4749
609	369733.6584
610	368743.5858
611	368206.0015
612	367420.8657
613	366141.3215
614	366070.5644
615	365446.224
616	364232.6185
617	363410.8671
618	362425.2398
619	361843.4435
620	361448.5626
621	360797.6864
622	360555.7878
623	358999.7794
624	358779.1483
625	358140.6316
626	357354.7336
627	356240.0239
628	356181.7418
629	355454.596
630	354928.4468
631	354779.8898
632	354356.1126
633	352962.4407
634	352216.5171
635	351201.8637
636	350246.9165
637	349289.7306
638	349076.4228
639	348765.2623
640	347144.6244
641	346008.5251
642	345429.1796
643	344978.4394
644	344252.9051
645	344073.197
646	343591.0057
647	342613.3477
648	342327.5456
649	341775.7027
650	340846.4168
651	339987.5509
652	339788.3054
653	339738.5875
654	338950.6208
655	338119.3534
656	337422.9122
657	337029.8562
658	336259.3022
659	335095.848
660	334539.8262
661	334082.9787
662	333983.2013
663	333517.5332
664	333313.314
665	332642.4495
666	331726.3867
667	330979.2315
668	330296.5972
669	330112.3472
670	329483.7548
671	328916.3811
672	328646.9772
673	328386.77
674	327691.378
675	327012.7543
676	326211.9238
677	325367.7557
678	325042.9328
679	324535.5865
680	323972.6899
681	323760.5899
682	323021.4325
683	322073.2453
684	321340.3981
685	320522.8181
686	319531.5868
687	319045.0064
688	318114.7575
689	317618.7359
690	317082.2849
691	316329.2151
692	315458.358
693	315287.0371
694	314708.646
695	314593.3482
696	314118.4339
697	313451.5395
698	313156.4714
699	312398.336
700	312014.7671
701	311183.4748
702	311101.5672
703	310343.1884
704	309707.9187
705	308956.8627
706	308416.8369
707	307676.1454
708	306907.9435
709	305788.0685
710	305617.1935
711	304906.5266
712	304874.7842
713	304543.0753
714	304260.9688
715	303513.9507
716	303260.74
717	302503.7822
718	302019.264
719	301486.3795
720	301183.0293
721	300476.1853
722	300327.8219
723	299996.2343
724	299624.7765
725	298864.2455
726	298274.0378
727	297296.5639
728	297071.4831
729	296969.1599
730	296194.7264
731	295753.5987
732	295100.1275
733	294216.4475
734	293219.8447
735	292689.6223
736	292606.3398
737	292257.3513
738	291751.1755
739	291569.459
740	290860.5075
741	290259.5467
742	289660.654
743	288763.5539
744	288648.6914
745	288130.2851
746	287517.6381
747	286871.9945
748	286175.9047
749	285572.7666
750	285093.4542
751	284837.5143
752	284270.6144
753	284216.074
754	283321.4364
755	282792.1397
756	282236.1723
757	281633.7404
758	281493.7303
759	280541.863
760	279690.8097
761	278920.7984
762	278442.051
763	278282.9042
764	278060.8385
765	277395.3002
766	276934.0067
767	276847.1673
768	276459.5422
769	275520.0168
770	274897.5524
771	274504.0781
772	273997.0114
773	273577.6657
774	272953.2006
775	272450.2005
776	271975.7389
777	271383.0837
778	270970.8401
779	270276.9025
780	270072.2479
781	269432.811
782	268657.2696
783	267995.8324
784	267684.9429
785	267104.0453
786	266544.3684
787	266132.4149
788	265839.9206
789	265708.8958
790	265481.7083
791	264926.0409
792	264482.7874
793	264153.0845
794	263512.8021
795	263039.3978
796	262622.8205
797	262035.7847
798	261684.7902
799	261461.3436
800	260931.8932
801	260318.2105
802	259537.8779
803	259112.3252
804	258739.1652
805	258232.3433
806	257881.0027
807	257073.5885
808	256779.892
809	255930.128
810	255286.1901
811	254531.3834
812	253830.8216
813	253683.6643
814	253447.1028
815	252961.0261
816	252469.4937
817	252269.4174
818	251461.9776
819	251218.8233
820	250775.3069
821	250504.3699
822	250023.931
823	249620.0407
824	249089.7326
825	248787.3545
826	248745.6169
827	248155.6049
828	247650.5964
829	246961.7547
830	246254.3446
831	245753.8193
832	245124.8181
833	244666.7466
834	244085.0749
835	243665.3041
836	242929.6319
837	242242.4601
838	241942.4149
839	241347.7422
840	240694.3632
841	240237.8006
842	239945.1788
843	239687.7596
844	239006.2367
845	238302.3815
846	238091.8384
847	237801.639
848	237510.5069
849	237249.555
850	236874.665
851	236617.4001
852	236248.9937
853	235692.5327
854	234981.0251
855	234576.3155
856	234258.5325
857	233665.154
858	233179.3361
859	233087.0727
860	233024.3145
861	232460.3243
862	232179.488
863	231611.103
864	230895.137
865	230607.4483
866	230122.0326
867	229938.9829
868	229575.5687
869	229313.265
870	228871.4581
871	228561.4845
872	228254.3667
873	227903.2522
874	227530.2579
875	227336.5548
876	226917.1737
877	226644.1582
878	226306.8818
879	225780.6486
880	225689.645
881	225561.7562
882	225495.7063
883	224999.8951
884	224573.0623
885	223872.0273
886	223559.3464
887	223163.3332
888	222765.6557
889	222333.3356
890	221966.2623
891	221582.1442
892	221508.5029
893	221197.9603
894	220816.7213
895	220440.2342
896	220275.8729
897	220177.4622
898	219597.0226
899	219403.9917
900	218885.5307
901	218665.3607
902	218508.3207
903	218338.7772
904	217913.3979
905	217244.024
906	216883.2362
907	216228.3908
908	215803.0087
909	215502.3457
910	215096.5114
911	214828.1361
912	214227.6959
913	213939.4775
914	213432.5611
915	212888.809
916	212198.0867
917	211915.4528
918	211498.216
919	211191.7598
920	210885.9079
921	210791.6571
922	210118.9303
923	210101.4141
924	209224.6295
925	208765.5187
926	208429.4151
927	208131.9853
928	208057.2642
929	207883.969
930	207527.3954
931	207479.7697
932	207024.1869
933	206682.7107
934	206241.564
935	206174.0541
936	205602.546
937	205351.4994
938	205196.7255
939	204700.2487
940	204595.6141
941	204191.2393
942	203785.4851
943	203515.494
944	203115.0838
945	202794.6223
946	202335.3206
947	202124.2586
948	201523.3993
949	201244.8788
950	200861.5583
951	200524.3096
952	200425.6581
953	200199.1743
954	200037.0481
955	199902.2599
956	199453.7723
957	199127.2288
958	199041.7086
959	198785.7177
960	198728.4936
961	198187.6088
962	197699.2515
963	197418.08
964	197098.5773
965	196782.3653
966	196596.3126
967	196149.7825
968	196071.7525
969	195813.9969
970	195767.5389
971	195376.3267
972	195009.1784
973	194498.6259
974	194337.2592
975	193843.8292
976	193659.6912
977	193206.063
978	192835.186
979	192730.3004
980	192441.8201
981	192066.0936
982	191711.5924
983	191431.9756
984	190985.0096
985	190899.1335
986	190724.3742
987	190417.3242
988	190326.8453
989	190055.406
990	189889.7968
991	189435.973
992	189081.184
993	188593.3021
994	188310.4753
995	187909.4712
996	187548.6654
997	187282.7458
998	187005.7182
999	186985.4827
168.9401
